"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\App.css", "CSS", 0, 33, 0, 0, 6, 39
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\App.js", "JavaScript", 22, 0, 0, 12, 2, 36
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Auth\AuthForm.js", "JavaScript", 172, 0, 0, 0, 15, 187
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Auth\AuthForm.module.css", "CSS", 0, 24, 0, 0, 4, 28
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Garbage\CheckCourses.js", "JavaScript", 71, 0, 0, 0, 7, 78
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Garbage\CheckCourses.module.css", "CSS", 0, 66, 0, 0, 13, 79
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Garbage\CreateCourse.js", "JavaScript", 45, 0, 0, 0, 6, 51
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Garbage\CreateCourse.module.css", "CSS", 0, 39, 0, 0, 6, 45
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Garbage\CreateLesson.js", "JavaScript", 45, 0, 0, 0, 8, 53
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Garbage\CreateLesson.module.css", "CSS", 0, 39, 0, 0, 6, 45
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\Footer.js", "JavaScript", 19, 0, 0, 1, 3, 23
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\Footer.module.css", "CSS", 0, 37, 0, 0, 7, 44
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\Layout.js", "JavaScript", 13, 0, 0, 0, 3, 16
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\Layout.module.css", "CSS", 0, 14, 0, 0, 1, 15
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\MainNavigation.js", "JavaScript", 245, 0, 0, 0, 8, 253
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\MainNavigation.module.css", "CSS", 0, 83, 0, 0, 15, 98
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\MobileNavigation.js", "JavaScript", 240, 0, 0, 0, 4, 244
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\MobileNavigation.module.css", "CSS", 0, 39, 0, 0, 7, 46
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\Navigator.js", "JavaScript", 42, 0, 0, 1, 7, 50
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\Navigator.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\SideNavigation.js", "JavaScript", 51, 0, 0, 0, 6, 57
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Layout\SideNavigation.module.css", "CSS", 0, 12, 0, 0, 0, 12
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Pagination\Pagination.js", "JavaScript", 21, 0, 0, 0, 5, 26
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Pagination\Pagination.module.css", "CSS", 0, 30, 0, 0, 7, 37
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Profile\Profile.js", "JavaScript", 36, 0, 0, 0, 4, 40
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Profile\Profile.module.css", "CSS", 0, 14, 0, 0, 2, 16
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\StartingPage\Courses.js", "JavaScript", 66, 0, 0, 0, 4, 70
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\StartingPage\Courses.module.css", "CSS", 0, 60, 0, 0, 10, 70
